"","nh03","nhGroup","nhTrt","nhHom","nhClass","nhSisben","nhPopD","nhDistCenter","nhQP03","nhPV03","nhTP03","nhBI03","nhCE03","nhNB03","nhMale","nhAgeYoung","nhAgeMid","nhMarDom","nhSepDiv","nhOwn","nhRent","nhEmp","nhAboveHS","nhHS","nhLogHom","BE","CE","PV","QP","TP","hom","nh","year","Group","HomCount2003","Pop2003","HomCount2008","Pop2008"
"111","111","T",1,125.284035,"1",1,48.27216639,8.010415051,0.228599351,0.453453749,0.227044323,0.715805204,0.519084059,38.9099946,0.333333333333333,0.25,0.333333333333333,0.5,0.0833333333333333,0.666666666666667,0.25,0.5,0,0.333333333333333,4.83058343957824,-1.45043454193561,0.746344852768479,-2.73230196557039,0.560206324799819,2.34727575543535,-0.180663042066249,111,2003,"T",14,1285.016884,3,1364.611247
"112","112","T",1,40.037865,"1",0.747169276,166.1289806,8.010415051,0.332481443,0.406935538,0.191720929,0.361083538,0.6024964,0,0.428571428571429,0.142857142857143,0.285714285714286,0.571428571428571,0.142857142857143,0.714285714285714,0.285714285714286,0.142857142857143,0,0.428571428571429,3.68982563134705,1.91522674032229,-0.286145268924606,-0.466850552657945,-0.360735955507498,1.00039289819495,-0.365108673530354,112,2003,"T",31,6143.986975,5,6524.547525
"201","201","T",1,8.338125,"2",0.555540955,496.528527,7.07367294,0.243551075,0.295549005,0.237362343,0.549738216,0.564612455,4.606901479,0.454545454545455,0.454545454545455,0.363636363636364,0.0909090909090909,0.272727272727273,0.454545454545455,0.545454545454545,0.363636363636364,0,0.636363636363636,2.12083837095093,-1.49374037737818,-0.274455590150537,-2.53309201036353,0.49945082564287,1.74656443452555,-0.126829410411757,201,2003,"T",9,10853.2818,3,11525.53761
"202","202","T",1,19.960195,"2",0.780821235,446.3705783,7.07367294,0.265788333,0.370880759,0.567126715,0.657633812,0.563727967,16.2654237,0.5,0.125,0.375,0.75,0,0.5,0,0.25,0.25,0.375,2.99374004037467,0.0426786708167042,-0.698049168728938,0.0524857969699467,-0.62467782613403,-0.577349320933335,-0.188921737885042,202,2003,"T",17,9323.673639,3,9901.185014
"203","203","T",1,3.60804,"2",0.886943322,538.0911532,7.07367294,0,0,0.958604643,0.788156687,0.466450486,24.09765133,0.5,0,0,1,0,1,0,0,0.5,0.5,1.28316468861342,-1.10469857196802,0.232107792241216,0.703813737507437,1.68205786077735,0.894097265476968,-0.091486619658086,203,2003,"T",2,4172.654256,0,4431.109816
"204","204","T",1,6.346675,"2",0.943504568,334.9576897,7.07367294,0,0.297853566,0,0.747832357,0.583398413,137.0836101,0,1,0,0,0,0,1,0,0,1,1.84793105371946,0.838344440381972,0.621078730296021,-1.35543997342837,1.81415383220992,0.434138340801773,-0.097827260701486,204,2003,"T",6,5523.38223,1,5865.50232
"205","205","T",1,12.043635,"2",0.394360133,359.4086494,7.07367294,0,0.032554291,0.715681815,0.707508027,0.643296102,23.94673876,0,0.166666666666667,0.5,0.5,0.166666666666667,0.333333333333333,0.666666666666667,0,0,0.5,2.48853630461393,-1.05816904716231,-0.472418038759008,0.926721799105263,4.01323566250002,-1.2667510772301,-0.0638706951247407,205,2003,"T",9,12550.81831,4,13328.22008
"207","207","T",1,33.30325,"2",0.460819372,514.840164,7.07367294,0.321770883,0.354274345,0.459244898,0.191114075,0.521915285,29.52207582,0.5,0.333333333333333,0.333333333333333,0.5,0,0.555555555555556,0.388888888888889,0.222222222222222,0,0.444444444444444,3.50565498982166,1.80674194860772,-0.240542295915285,-0.552437083539138,0.868398398915878,0.0210319886688018,-0.38047794274798,207,2003,"T",37,11930.21357,4,12669.17487
"208","208","T",1,11.32188,"2",0.393633679,364.8269466,7.07367294,0.248894003,0.226047138,0.765218969,0.620256609,0.556152951,37.60181497,0.142857142857143,0.285714285714286,0.428571428571429,0.571428571428571,0,0.714285714285714,0.142857142857143,0.285714285714286,0,0.571428571428571,2.42673713672417,-0.798590743596153,-0.522505145758378,-0.591235083687428,0.0668262940126335,-2.78356314387739,-0.177511152553356,208,2003,"T",5,5333.550191,1,5663.912022
"209","209","T",1,12.69848,"2",0.472453093,461.7620803,7.07367294,0.368352066,0.222726432,0.761039299,0.421200092,0.685034496,16.52903149,0.181818181818182,0.545454545454545,0.0909090909090909,0.181818181818182,0.272727272727273,0.272727272727273,0.545454545454545,0.0909090909090909,0,0.454545454545455,2.54148230126235,0.726612178210884,-0.519607607781411,-0.718157326844666,-0.480662501896031,-0.833687316329871,-0.280988526673138,209,2003,"T",11,9108.287286,1,9672.457561
